method,PINNs
n_vert,20
h,0.13
0,0.000286103018667398
1,0.0004748919901925534
2,0.0005241066217422083
3,0.0007459640008656318
4,0.0006882811285986161
5,0.00039291488840213404
6,0.0012433128849176124
7,0.0012006030021477578
8,0.0004912527204849668
9,0.0010966598152928112
10,0.0006925945720868432
11,0.00029449419137685036
12,0.0009661801225201987
13,0.0006267635659473009
14,0.0005908430111532598
15,0.0003916570478171899
16,0.0006159343009792008
17,0.001096740523087203
18,0.0003579410381016453
19,0.0003978216264130301
